Day of Week Ending,Lineage Bin,Modeltype,Usa Or Hhsregion,Variant,95CI,Share
29-May-21,VOC,weighted,3,BA.4,NA,0
5-Jun-21,VOC,weighted,3,BA.4,NA,0
12-Jun-21,VOC,weighted,3,BA.4,NA,0
19-Jun-21,VOC,weighted,3,BA.4,NA,0
26-Jun-21,VOC,weighted,3,BA.4,NA,0
3-Jul-21,VOC,weighted,3,BA.4,NA,0
10-Jul-21,VOC,weighted,3,BA.4,NA,0
17-Jul-21,VOC,weighted,3,BA.4,NA,0
24-Jul-21,VOC,weighted,3,BA.4,NA,0
31-Jul-21,VOC,weighted,3,BA.4,NA,0
7-Aug-21,VOC,weighted,3,BA.4,NA,0
14-Aug-21,VOC,weighted,3,BA.4,NA,0
21-Aug-21,VOC,weighted,3,BA.4,NA,0
28-Aug-21,VOC,weighted,3,BA.4,NA,0
4-Sep-21,VOC,weighted,3,BA.4,NA,0
11-Sep-21,VOC,weighted,3,BA.4,NA,0
18-Sep-21,VOC,weighted,3,BA.4,NA,0
25-Sep-21,VOC,weighted,3,BA.4,NA,0
2-Oct-21,VOC,weighted,3,BA.4,NA,0
9-Oct-21,VOC,weighted,3,BA.4,NA,0
16-Oct-21,VOC,weighted,3,BA.4,NA,0
23-Oct-21,VOC,weighted,3,BA.4,NA,0
30-Oct-21,VOC,weighted,3,BA.4,NA,0
6-Nov-21,VOC,weighted,3,BA.4,NA,0
13-Nov-21,VOC,weighted,3,BA.4,NA,0
20-Nov-21,VOC,weighted,3,BA.4,NA,0
27-Nov-21,VOC,weighted,3,BA.4,NA,0
4-Dec-21,VOC,weighted,3,BA.4,NA,0
11-Dec-21,VOC,weighted,3,BA.4,NA,0
18-Dec-21,VOC,weighted,3,BA.4,NA,0
25-Dec-21,VOC,weighted,3,BA.4,NA,0
1-Jan-22,VOC,weighted,3,BA.4,NA,0
8-Jan-22,VOC,weighted,3,BA.4,NA,0
15-Jan-22,VOC,weighted,3,BA.4,NA,0
22-Jan-22,VOC,weighted,3,BA.4,NA,0
29-Jan-22,VOC,weighted,3,BA.4,NA,0
5-Feb-22,VOC,weighted,3,BA.4,NA,0
12-Feb-22,VOC,weighted,3,BA.4,NA,0
19-Feb-22,VOC,weighted,3,BA.4,NA,0
26-Feb-22,VOC,weighted,3,BA.4,NA,0
5-Mar-22,VOC,weighted,3,BA.4,NA,0
12-Mar-22,VOC,weighted,3,BA.4,NA,0
19-Mar-22,VOC,weighted,3,BA.4,NA,0
26-Mar-22,VOC,weighted,3,BA.4,NA,0
2-Apr-22,VOC,weighted,3,BA.4,NA,0
9-Apr-22,VOC,weighted,3,BA.4,0.0-0.2%,0.000235809
16-Apr-22,VOC,weighted,3,BA.4,0.1-0.6%,0.002555524
23-Apr-22,VOC,weighted,3,BA.4,0.0-0.4%,0.001339388
30-Apr-22,VOC,weighted,3,BA.4,0.1-0.6%,0.002809862
7-May-22,VOC,weighted,3,BA.4,0.3-1.4%,0.007347871
14-May-22,VOC,weighted,3,BA.4,0.6-1.4%,0.009442853
21-May-22,VOC,weighted,3,BA.4,1.1-2.9%,0.018753767
28-May-22,VOC,weighted,3,BA.4,2.3-4.7%,0.033356655
4-Jun-22,VOC,weighted,3,BA.4,3.5-6.8%,0.049628384
11-Jun-22,VOC,weighted,3,BA.4,5.5-11.0%,0.079157211
18-Jun-22,VOC,weighted,3,BA.4,9.2-16.3%,0.12408457
25-Jun-22,VOC,weighted,3,BA.4,9.8-18.4%,0.13686274
2-Jul-22,VOC,weighted,3,BA.4,10.8-14.3%,0.124863155
9-Jul-22,VOC,weighted,3,BA.4,11.3-15.1%,0.131220058
16-Jul-22,VOC,weighted,3,BA.4,9.1-12.6%,0.10751716
23-Jul-22,VOC,weighted,3,BA.4,8.4-11.7%,0.099678077
8-May-21,VOC,weighted,3,BA.4.6,NA,0
15-May-21,VOC,weighted,3,BA.4.6,NA,0
22-May-21,VOC,weighted,3,BA.4.6,NA,0
29-May-21,VOC,weighted,3,BA.4.6,NA,0
5-Jun-21,VOC,weighted,3,BA.4.6,NA,0
12-Jun-21,VOC,weighted,3,BA.4.6,NA,0
19-Jun-21,VOC,weighted,3,BA.4.6,NA,0
26-Jun-21,VOC,weighted,3,BA.4.6,NA,0
3-Jul-21,VOC,weighted,3,BA.4.6,NA,0
10-Jul-21,VOC,weighted,3,BA.4.6,NA,0
17-Jul-21,VOC,weighted,3,BA.4.6,NA,0
24-Jul-21,VOC,weighted,3,BA.4.6,NA,0
31-Jul-21,VOC,weighted,3,BA.4.6,NA,0
7-Aug-21,VOC,weighted,3,BA.4.6,NA,0
14-Aug-21,VOC,weighted,3,BA.4.6,NA,0
21-Aug-21,VOC,weighted,3,BA.4.6,NA,0
28-Aug-21,VOC,weighted,3,BA.4.6,NA,0
4-Sep-21,VOC,weighted,3,BA.4.6,NA,0
11-Sep-21,VOC,weighted,3,BA.4.6,NA,0
18-Sep-21,VOC,weighted,3,BA.4.6,NA,0
25-Sep-21,VOC,weighted,3,BA.4.6,NA,0
2-Oct-21,VOC,weighted,3,BA.4.6,NA,0
9-Oct-21,VOC,weighted,3,BA.4.6,NA,0
16-Oct-21,VOC,weighted,3,BA.4.6,NA,0
23-Oct-21,VOC,weighted,3,BA.4.6,NA,0
30-Oct-21,VOC,weighted,3,BA.4.6,NA,0
6-Nov-21,VOC,weighted,3,BA.4.6,NA,0
13-Nov-21,VOC,weighted,3,BA.4.6,NA,0
20-Nov-21,VOC,weighted,3,BA.4.6,NA,0
27-Nov-21,VOC,weighted,3,BA.4.6,NA,0
4-Dec-21,VOC,weighted,3,BA.4.6,NA,0
11-Dec-21,VOC,weighted,3,BA.4.6,NA,0
18-Dec-21,VOC,weighted,3,BA.4.6,NA,0
25-Dec-21,VOC,weighted,3,BA.4.6,NA,0
1-Jan-22,VOC,weighted,3,BA.4.6,NA,0
8-Jan-22,VOC,weighted,3,BA.4.6,NA,0
15-Jan-22,VOC,weighted,3,BA.4.6,NA,0
22-Jan-22,VOC,weighted,3,BA.4.6,NA,0
29-Jan-22,VOC,weighted,3,BA.4.6,NA,0
5-Feb-22,VOC,weighted,3,BA.4.6,NA,0
12-Feb-22,VOC,weighted,3,BA.4.6,NA,0
19-Feb-22,VOC,weighted,3,BA.4.6,NA,0
26-Feb-22,VOC,weighted,3,BA.4.6,NA,0
5-Mar-22,VOC,weighted,3,BA.4.6,NA,0
12-Mar-22,VOC,weighted,3,BA.4.6,NA,0
19-Mar-22,VOC,weighted,3,BA.4.6,NA,0
26-Mar-22,VOC,weighted,3,BA.4.6,NA,0
2-Apr-22,VOC,weighted,3,BA.4.6,NA,0
9-Apr-22,VOC,weighted,3,BA.4.6,NA,0
16-Apr-22,VOC,weighted,3,BA.4.6,NA,0
23-Apr-22,VOC,weighted,3,BA.4.6,NA,0
30-Apr-22,VOC,weighted,3,BA.4.6,NA,0
7-May-22,VOC,weighted,3,BA.4.6,NA,0
14-May-22,VOC,weighted,3,BA.4.6,0.0-0.4%,0.000564327
21-May-22,VOC,weighted,3,BA.4.6,0.0-0.2%,0.000315396
28-May-22,VOC,weighted,3,BA.4.6,0.0-0.2%,0.000375135
4-Jun-22,VOC,weighted,3,BA.4.6,0.0-1.0%,0.002862941
11-Jun-22,VOC,weighted,3,BA.4.6,0.3-1.5%,0.00713783
18-Jun-22,VOC,weighted,3,BA.4.6,0.5-1.8%,0.009967488
25-Jun-22,VOC,weighted,3,BA.4.6,0.6-5.3%,0.021650707
2-Jul-22,VOC,weighted,3,BA.4.6,1.3-3.0%,0.020377526
9-Jul-22,VOC,weighted,3,BA.4.6,1.8-4.7%,0.030130174
16-Jul-22,VOC,weighted,3,BA.4.6,3.2-5.1%,0.0406061
23-Jul-22,VOC,weighted,3,BA.4.6,3.4-6.3%,0.046877697
8-May-21,VOC,weighted,3,BA.5,NA,0
15-May-21,VOC,weighted,3,BA.5,NA,0
22-May-21,VOC,weighted,3,BA.5,NA,0
29-May-21,VOC,weighted,3,BA.5,NA,0
5-Jun-21,VOC,weighted,3,BA.5,NA,0
12-Jun-21,VOC,weighted,3,BA.5,NA,0
19-Jun-21,VOC,weighted,3,BA.5,NA,0
26-Jun-21,VOC,weighted,3,BA.5,NA,0
3-Jul-21,VOC,weighted,3,BA.5,NA,0
10-Jul-21,VOC,weighted,3,BA.5,NA,0
17-Jul-21,VOC,weighted,3,BA.5,NA,0
24-Jul-21,VOC,weighted,3,BA.5,NA,0
31-Jul-21,VOC,weighted,3,BA.5,NA,0
7-Aug-21,VOC,weighted,3,BA.5,NA,0
14-Aug-21,VOC,weighted,3,BA.5,NA,0
21-Aug-21,VOC,weighted,3,BA.5,NA,0
28-Aug-21,VOC,weighted,3,BA.5,NA,0
4-Sep-21,VOC,weighted,3,BA.5,NA,0
11-Sep-21,VOC,weighted,3,BA.5,NA,0
18-Sep-21,VOC,weighted,3,BA.5,NA,0
25-Sep-21,VOC,weighted,3,BA.5,NA,0
2-Oct-21,VOC,weighted,3,BA.5,NA,0
9-Oct-21,VOC,weighted,3,BA.5,NA,0
16-Oct-21,VOC,weighted,3,BA.5,NA,0
23-Oct-21,VOC,weighted,3,BA.5,NA,0
30-Oct-21,VOC,weighted,3,BA.5,NA,0
6-Nov-21,VOC,weighted,3,BA.5,NA,0
13-Nov-21,VOC,weighted,3,BA.5,NA,0
20-Nov-21,VOC,weighted,3,BA.5,NA,0
27-Nov-21,VOC,weighted,3,BA.5,NA,0
4-Dec-21,VOC,weighted,3,BA.5,NA,0
11-Dec-21,VOC,weighted,3,BA.5,NA,0
18-Dec-21,VOC,weighted,3,BA.5,NA,0
25-Dec-21,VOC,weighted,3,BA.5,NA,0
1-Jan-22,VOC,weighted,3,BA.5,NA,0
8-Jan-22,VOC,weighted,3,BA.5,NA,0
15-Jan-22,VOC,weighted,3,BA.5,NA,0
22-Jan-22,VOC,weighted,3,BA.5,NA,0
29-Jan-22,VOC,weighted,3,BA.5,NA,0
5-Feb-22,VOC,weighted,3,BA.5,NA,0
12-Feb-22,VOC,weighted,3,BA.5,NA,0
19-Feb-22,VOC,weighted,3,BA.5,NA,0
26-Feb-22,VOC,weighted,3,BA.5,NA,0
5-Mar-22,VOC,weighted,3,BA.5,NA,0
12-Mar-22,VOC,weighted,3,BA.5,NA,0
19-Mar-22,VOC,weighted,3,BA.5,NA,0
26-Mar-22,VOC,weighted,3,BA.5,NA,0
2-Apr-22,VOC,weighted,3,BA.5,NA,0
9-Apr-22,VOC,weighted,3,BA.5,NA,0
16-Apr-22,VOC,weighted,3,BA.5,NA,0
23-Apr-22,VOC,weighted,3,BA.5,NA,0
30-Apr-22,VOC,weighted,3,BA.5,0.0-0.3%,0.000900224
7-May-22,VOC,weighted,3,BA.5,0.0-0.4%,0.000807587
14-May-22,VOC,weighted,3,BA.5,0.1-0.4%,0.001815217
21-May-22,VOC,weighted,3,BA.5,0.9-1.9%,0.013278075
28-May-22,VOC,weighted,3,BA.5,1.4-2.9%,0.020617165
4-Jun-22,VOC,weighted,3,BA.5,4.5-8.5%,0.062942177
11-Jun-22,VOC,weighted,3,BA.5,10.8-14.3%,0.124748662
18-Jun-22,VOC,weighted,3,BA.5,21.8-26.2%,0.239280462
25-Jun-22,VOC,weighted,3,BA.5,33.4-44.8%,0.390137821
2-Jul-22,VOC,weighted,3,BA.5,48.7-56.6%,0.526430488
9-Jul-22,VOC,weighted,3,BA.5,59.6-67.5%,0.63667804
16-Jul-22,VOC,weighted,3,BA.5,70.2-74.7%,0.724881887
23-Jul-22,VOC,weighted,3,BA.5,73.5-80.2%,0.769558787
8-May-21,VOC,weighted,4,B.1.1.529,NA,0
15-May-21,VOC,weighted,4,B.1.1.529,NA,0
22-May-21,VOC,weighted,4,B.1.1.529,NA,0
29-May-21,VOC,weighted,4,B.1.1.529,NA,0
5-Jun-21,VOC,weighted,4,B.1.1.529,NA,0
12-Jun-21,VOC,weighted,4,B.1.1.529,NA,0
19-Jun-21,VOC,weighted,4,B.1.1.529,NA,0
26-Jun-21,VOC,weighted,4,B.1.1.529,NA,0
3-Jul-21,VOC,weighted,4,B.1.1.529,NA,0
10-Jul-21,VOC,weighted,4,B.1.1.529,NA,0
17-Jul-21,VOC,weighted,4,B.1.1.529,NA,0
24-Jul-21,VOC,weighted,4,B.1.1.529,NA,0
31-Jul-21,VOC,weighted,4,B.1.1.529,NA,0
7-Aug-21,VOC,weighted,4,B.1.1.529,NA,0
14-Aug-21,VOC,weighted,4,B.1.1.529,NA,0
21-Aug-21,VOC,weighted,4,B.1.1.529,NA,0
28-Aug-21,VOC,weighted,4,B.1.1.529,NA,0
4-Sep-21,VOC,weighted,4,B.1.1.529,NA,0
11-Sep-21,VOC,weighted,4,B.1.1.529,NA,0
18-Sep-21,VOC,weighted,4,B.1.1.529,0.0-0.1%,0.000108183
25-Sep-21,VOC,weighted,4,B.1.1.529,NA,0
2-Oct-21,VOC,weighted,4,B.1.1.529,NA,0
9-Oct-21,VOC,weighted,4,B.1.1.529,NA,0
16-Oct-21,VOC,weighted,4,B.1.1.529,NA,0
23-Oct-21,VOC,weighted,4,B.1.1.529,NA,0
30-Oct-21,VOC,weighted,4,B.1.1.529,NA,0
6-Nov-21,VOC,weighted,4,B.1.1.529,NA,0
13-Nov-21,VOC,weighted,4,B.1.1.529,NA,0
20-Nov-21,VOC,weighted,4,B.1.1.529,NA,0
27-Nov-21,VOC,weighted,4,B.1.1.529,NA,0
4-Dec-21,VOC,weighted,4,B.1.1.529,0.4-3.3%,0.013728693
11-Dec-21,VOC,weighted,4,B.1.1.529,5.7-17.7%,0.106286459
18-Dec-21,VOC,weighted,4,B.1.1.529,36.9-64.7%,0.508508921
25-Dec-21,VOC,weighted,4,B.1.1.529,72.1-88.0%,0.809281528
1-Jan-22,VOC,weighted,4,B.1.1.529,88.9-94.1%,0.917764723
8-Jan-22,VOC,weighted,4,B.1.1.529,93.6-97.8%,0.960576475
15-Jan-22,VOC,weighted,4,B.1.1.529,96.8-98.9%,0.980414629
22-Jan-22,VOC,weighted,4,B.1.1.529,98.0-99.5%,0.988941491
29-Jan-22,VOC,weighted,4,B.1.1.529,98.5-99.5%,0.991176486
5-Feb-22,VOC,weighted,4,B.1.1.529,98.7-99.5%,0.99156183
12-Feb-22,VOC,weighted,4,B.1.1.529,98.3-99.0%,0.98704505
19-Feb-22,VOC,weighted,4,B.1.1.529,96.9-98.2%,0.976303577
26-Feb-22,VOC,weighted,4,B.1.1.529,93.2-96.5%,0.95054251
5-Mar-22,VOC,weighted,4,B.1.1.529,87.5-92.9%,0.904658318
12-Mar-22,VOC,weighted,4,B.1.1.529,69.6-81.0%,0.75612241
19-Mar-22,VOC,weighted,4,B.1.1.529,53.1-65.8%,0.595523834
26-Mar-22,VOC,weighted,4,B.1.1.529,30.4-40.1%,0.351400435
2-Apr-22,VOC,weighted,4,B.1.1.529,15.0-23.6%,0.190106168
9-Apr-22,VOC,weighted,4,B.1.1.529,7.3-11.3%,0.091241024
16-Apr-22,VOC,weighted,4,B.1.1.529,3.2-4.9%,0.040135924
23-Apr-22,VOC,weighted,4,B.1.1.529,1.4-2.5%,0.018989941
30-Apr-22,VOC,weighted,4,B.1.1.529,0.7-1.6%,0.010836092
7-May-22,VOC,weighted,4,B.1.1.529,0.3-1.0%,0.005938862
14-May-22,VOC,weighted,4,B.1.1.529,0.0-0.3%,0.001245467
21-May-22,VOC,weighted,4,B.1.1.529,0.1-0.4%,0.002097769
28-May-22,VOC,weighted,4,B.1.1.529,0.0-0.4%,0.000863688
4-Jun-22,VOC,weighted,4,B.1.1.529,0.0-3.6%,0.006765621
11-Jun-22,VOC,weighted,4,B.1.1.529,0.0-0.1%,0.000309035
18-Jun-22,VOC,weighted,4,B.1.1.529,0.0-0.2%,0.000275843
25-Jun-22,VOC,weighted,4,B.1.1.529,NA,0
2-Jul-22,VOC,weighted,4,B.1.1.529,NA,0
9-Jul-22,VOC,weighted,4,B.1.1.529,NA,0
16-Jul-22,VOC,weighted,4,B.1.1.529,NA,0
23-Jul-22,VOC,weighted,4,B.1.1.529,0.0-0.2%,0.000316393
8-May-21,VOC,weighted,4,BA.2,NA,0
15-May-21,VOC,weighted,4,BA.2,NA,0
22-May-21,VOC,weighted,4,BA.2,NA,0
29-May-21,VOC,weighted,4,BA.2,NA,0
5-Jun-21,VOC,weighted,4,BA.2,NA,0
12-Jun-21,VOC,weighted,4,BA.2,NA,0
19-Jun-21,VOC,weighted,4,BA.2,NA,0
26-Jun-21,VOC,weighted,4,BA.2,NA,0
3-Jul-21,VOC,weighted,4,BA.2,NA,0
10-Jul-21,VOC,weighted,4,BA.2,NA,0
17-Jul-21,VOC,weighted,4,BA.2,NA,0
24-Jul-21,VOC,weighted,4,BA.2,NA,0
31-Jul-21,VOC,weighted,4,BA.2,NA,0
7-Aug-21,VOC,weighted,4,BA.2,NA,0
14-Aug-21,VOC,weighted,4,BA.2,NA,0
21-Aug-21,VOC,weighted,4,BA.2,NA,0
28-Aug-21,VOC,weighted,4,BA.2,NA,0
4-Sep-21,VOC,weighted,4,BA.2,NA,0
11-Sep-21,VOC,weighted,4,BA.2,NA,0
18-Sep-21,VOC,weighted,4,BA.2,NA,0
25-Sep-21,VOC,weighted,4,BA.2,NA,0
2-Oct-21,VOC,weighted,4,BA.2,NA,0
9-Oct-21,VOC,weighted,4,BA.2,NA,0
16-Oct-21,VOC,weighted,4,BA.2,NA,0
23-Oct-21,VOC,weighted,4,BA.2,NA,0
30-Oct-21,VOC,weighted,4,BA.2,NA,0
6-Nov-21,VOC,weighted,4,BA.2,NA,0
13-Nov-21,VOC,weighted,4,BA.2,NA,0
20-Nov-21,VOC,weighted,4,BA.2,NA,0
27-Nov-21,VOC,weighted,4,BA.2,NA,0
4-Dec-21,VOC,weighted,4,BA.2,NA,0
11-Dec-21,VOC,weighted,4,BA.2,NA,0
18-Dec-21,VOC,weighted,4,BA.2,NA,0
25-Dec-21,VOC,weighted,4,BA.2,NA,0
1-Jan-22,VOC,weighted,4,BA.2,NA,0
8-Jan-22,VOC,weighted,4,BA.2,0.0-0.8%,0.002198091
15-Jan-22,VOC,weighted,4,BA.2,0.0-0.1%,0.000501094
22-Jan-22,VOC,weighted,4,BA.2,0.1-0.5%,0.002420067
29-Jan-22,VOC,weighted,4,BA.2,0.2-0.9%,0.004563598
5-Feb-22,VOC,weighted,4,BA.2,0.4-0.8%,0.005582646
12-Feb-22,VOC,weighted,4,BA.2,0.8-1.3%,0.010542166
19-Feb-22,VOC,weighted,4,BA.2,1.7-3.0%,0.022480547
26-Feb-22,VOC,weighted,4,BA.2,3.2-6.7%,0.047386188
5-Mar-22,VOC,weighted,4,BA.2,7.0-12.5%,0.094847061
12-Mar-22,VOC,weighted,4,BA.2,18.5-29.9%,0.238300771
19-Mar-22,VOC,weighted,4,BA.2,33.1-46.0%,0.393964797
26-Mar-22,VOC,weighted,4,BA.2,56.5-67.0%,0.618507743
2-Apr-22,VOC,weighted,4,BA.2,68.2-77.7%,0.731542051
9-Apr-22,VOC,weighted,4,BA.2,72.0-79.9%,0.761118293
16-Apr-22,VOC,weighted,4,BA.2,67.3-80.9%,0.745776474
23-Apr-22,VOC,weighted,4,BA.2,66.1-74.9%,0.706693828
30-Apr-22,VOC,weighted,4,BA.2,54.7-65.5%,0.602162898
7-May-22,VOC,weighted,4,BA.2,48.0-59.3%,0.536999822
14-May-22,VOC,weighted,4,BA.2,40.6-47.2%,0.438790381
21-May-22,VOC,weighted,4,BA.2,31.7-36.0%,0.338490784
28-May-22,VOC,weighted,4,BA.2,25.7-29.8%,0.27750504
4-Jun-22,VOC,weighted,4,BA.2,18.0-24.1%,0.209270597
11-Jun-22,VOC,weighted,4,BA.2,14.2-19.0%,0.164662302
18-Jun-22,VOC,weighted,4,BA.2,8.6-11.8%,0.101090498
25-Jun-22,VOC,weighted,4,BA.2,5.8-7.6%,0.066388868
2-Jul-22,VOC,weighted,4,BA.2,3.6-5.2%,0.043341856
9-Jul-22,VOC,weighted,4,BA.2,1.6-2.7%,0.02077263
16-Jul-22,VOC,weighted,4,BA.2,1.3-2.5%,0.018322265
23-Jul-22,VOC,weighted,4,BA.2,0.6-1.8%,0.010845465
8-May-21,VOC,weighted,4,BA.2.12.1,NA,0
15-May-21,VOC,weighted,4,BA.2.12.1,NA,0
22-May-21,VOC,weighted,4,BA.2.12.1,NA,0
29-May-21,VOC,weighted,4,BA.2.12.1,NA,0
5-Jun-21,VOC,weighted,4,BA.2.12.1,NA,0
12-Jun-21,VOC,weighted,4,BA.2.12.1,NA,0
19-Jun-21,VOC,weighted,4,BA.2.12.1,NA,0
26-Jun-21,VOC,weighted,4,BA.2.12.1,NA,0
3-Jul-21,VOC,weighted,4,BA.2.12.1,NA,0
10-Jul-21,VOC,weighted,4,BA.2.12.1,NA,0
17-Jul-21,VOC,weighted,4,BA.2.12.1,NA,0
24-Jul-21,VOC,weighted,4,BA.2.12.1,NA,0
31-Jul-21,VOC,weighted,4,BA.2.12.1,NA,0
7-Aug-21,VOC,weighted,4,BA.2.12.1,NA,0
14-Aug-21,VOC,weighted,4,BA.2.12.1,NA,0
21-Aug-21,VOC,weighted,4,BA.2.12.1,NA,0
28-Aug-21,VOC,weighted,4,BA.2.12.1,NA,0
4-Sep-21,VOC,weighted,4,BA.2.12.1,NA,0
11-Sep-21,VOC,weighted,4,BA.2.12.1,NA,0
18-Sep-21,VOC,weighted,4,BA.2.12.1,NA,0
25-Sep-21,VOC,weighted,4,BA.2.12.1,NA,0
2-Oct-21,VOC,weighted,4,BA.2.12.1,NA,0
9-Oct-21,VOC,weighted,4,BA.2.12.1,NA,0
16-Oct-21,VOC,weighted,4,BA.2.12.1,NA,0
23-Oct-21,VOC,weighted,4,BA.2.12.1,NA,0
30-Oct-21,VOC,weighted,4,BA.2.12.1,NA,0
6-Nov-21,VOC,weighted,4,BA.2.12.1,NA,0
13-Nov-21,VOC,weighted,4,BA.2.12.1,NA,0
20-Nov-21,VOC,weighted,4,BA.2.12.1,NA,0
27-Nov-21,VOC,weighted,4,BA.2.12.1,NA,0
4-Dec-21,VOC,weighted,4,BA.2.12.1,NA,0
11-Dec-21,VOC,weighted,4,BA.2.12.1,NA,0
18-Dec-21,VOC,weighted,4,BA.2.12.1,NA,0
25-Dec-21,VOC,weighted,4,BA.2.12.1,NA,0
1-Jan-22,VOC,weighted,4,BA.2.12.1,NA,0
8-Jan-22,VOC,weighted,4,BA.2.12.1,0.0-0.3%,0.000732697
15-Jan-22,VOC,weighted,4,BA.2.12.1,NA,0
22-Jan-22,VOC,weighted,4,BA.2.12.1,0.0-1.1%,0.002359642
29-Jan-22,VOC,weighted,4,BA.2.12.1,NA,0
5-Feb-22,VOC,weighted,4,BA.2.12.1,NA,0
12-Feb-22,VOC,weighted,4,BA.2.12.1,NA,0
19-Feb-22,VOC,weighted,4,BA.2.12.1,NA,0
26-Feb-22,VOC,weighted,4,BA.2.12.1,NA,0
5-Mar-22,VOC,weighted,4,BA.2.12.1,NA,0
12-Mar-22,VOC,weighted,4,BA.2.12.1,0.0-0.5%,0.00182094
19-Mar-22,VOC,weighted,4,BA.2.12.1,0.3-1.2%,0.006196906
26-Mar-22,VOC,weighted,4,BA.2.12.1,2.0-4.4%,0.030091804
2-Apr-22,VOC,weighted,4,BA.2.12.1,5.6-9.4%,0.073153049
9-Apr-22,VOC,weighted,4,BA.2.12.1,11.7-17.7%,0.145515114
16-Apr-22,VOC,weighted,4,BA.2.12.1,15.3-27.6%,0.209711462
23-Apr-22,VOC,weighted,4,BA.2.12.1,22.9-31.4%,0.269678503
30-Apr-22,VOC,weighted,4,BA.2.12.1,32.3-42.7%,0.37362957
7-May-22,VOC,weighted,4,BA.2.12.1,38.3-49.3%,0.437531143
14-May-22,VOC,weighted,4,BA.2.12.1,50.2-56.1%,0.531668246
21-May-22,VOC,weighted,4,BA.2.12.1,58.1-62.5%,0.602749884
28-May-22,VOC,weighted,4,BA.2.12.1,61.5-65.6%,0.635648608
4-Jun-22,VOC,weighted,4,BA.2.12.1,59.6-63.6%,0.6161924
11-Jun-22,VOC,weighted,4,BA.2.12.1,53.8-61.6%,0.577437758
18-Jun-22,VOC,weighted,4,BA.2.12.1,46.0-51.3%,0.486708283
25-Jun-22,VOC,weighted,4,BA.2.12.1,34.2-40.2%,0.371662766
2-Jul-22,VOC,weighted,4,BA.2.12.1,21.7-28.5%,0.249909103
9-Jul-22,VOC,weighted,4,BA.2.12.1,15.9-18.4%,0.170887098
16-Jul-22,VOC,weighted,4,BA.2.12.1,9.3-12.4%,0.10760586
23-Jul-22,VOC,weighted,4,BA.2.12.1,4.7-7.4%,0.059287202
8-May-21,VOC,weighted,4,BA.4,NA,0
15-May-21,VOC,weighted,4,BA.4,NA,0
22-May-21,VOC,weighted,4,BA.4,NA,0
29-May-21,VOC,weighted,4,BA.4,NA,0
5-Jun-21,VOC,weighted,4,BA.4,NA,0
12-Jun-21,VOC,weighted,4,BA.4,NA,0
19-Jun-21,VOC,weighted,4,BA.4,NA,0
26-Jun-21,VOC,weighted,4,BA.4,NA,0
3-Jul-21,VOC,weighted,4,BA.4,NA,0
10-Jul-21,VOC,weighted,4,BA.4,NA,0
17-Jul-21,VOC,weighted,4,BA.4,NA,0
24-Jul-21,VOC,weighted,4,BA.4,NA,0
31-Jul-21,VOC,weighted,4,BA.4,NA,0
7-Aug-21,VOC,weighted,4,BA.4,NA,0
14-Aug-21,VOC,weighted,4,BA.4,NA,0
21-Aug-21,VOC,weighted,4,BA.4,NA,0
28-Aug-21,VOC,weighted,4,BA.4,NA,0
4-Sep-21,VOC,weighted,4,BA.4,NA,0
11-Sep-21,VOC,weighted,4,BA.4,NA,0
18-Sep-21,VOC,weighted,4,BA.4,NA,0
25-Sep-21,VOC,weighted,4,BA.4,NA,0
2-Oct-21,VOC,weighted,4,BA.4,NA,0
9-Oct-21,VOC,weighted,4,BA.4,NA,0
16-Oct-21,VOC,weighted,4,BA.4,NA,0
23-Oct-21,VOC,weighted,4,BA.4,NA,0
30-Oct-21,VOC,weighted,4,BA.4,NA,0
6-Nov-21,VOC,weighted,4,BA.4,NA,0
13-Nov-21,VOC,weighted,4,BA.4,NA,0
20-Nov-21,VOC,weighted,4,BA.4,NA,0
27-Nov-21,VOC,weighted,4,BA.4,NA,0
4-Dec-21,VOC,weighted,4,BA.4,NA,0
11-Dec-21,VOC,weighted,4,BA.4,NA,0
18-Dec-21,VOC,weighted,4,BA.4,NA,0
25-Dec-21,VOC,weighted,4,BA.4,NA,0
1-Jan-22,VOC,weighted,4,BA.4,NA,0
8-Jan-22,VOC,weighted,4,BA.4,NA,0
15-Jan-22,VOC,weighted,4,BA.4,NA,0
22-Jan-22,VOC,weighted,4,BA.4,0.0-0.1%,0.000138802
29-Jan-22,VOC,weighted,4,BA.4,NA,0
5-Feb-22,VOC,weighted,4,BA.4,NA,0
12-Feb-22,VOC,weighted,4,BA.4,NA,0
19-Feb-22,VOC,weighted,4,BA.4,NA,0
26-Feb-22,VOC,weighted,4,BA.4,NA,0
5-Mar-22,VOC,weighted,4,BA.4,NA,0
12-Mar-22,VOC,weighted,4,BA.4,NA,0
19-Mar-22,VOC,weighted,4,BA.4,NA,0
26-Mar-22,VOC,weighted,4,BA.4,NA,0
2-Apr-22,VOC,weighted,4,BA.4,NA,0
9-Apr-22,VOC,weighted,4,BA.4,NA,0
16-Apr-22,VOC,weighted,4,BA.4,NA,0
23-Apr-22,VOC,weighted,4,BA.4,0.0-0.2%,0.000399851
30-Apr-22,VOC,weighted,4,BA.4,0.0-0.6%,0.002204107
7-May-22,VOC,weighted,4,BA.4,0.1-1.0%,0.004035684
14-May-22,VOC,weighted,4,BA.4,0.6-1.3%,0.009167583
